a_作者,b_被收藏数,c_最近更新作品,d_作品状态,e_作品字数,f_最后更新时间,g_作者所发送红包数,h_小说完本数,i_小说连载数,j_小说暂停数
吴窥江,456,《万人嫌有快速爆红小技巧》,连载,44564,2022-03-13 15:00:00,72,7,6,0
轻黯,14270,《办公室隐婚》,完结,622457,2022-03-04 22:53:04,22767,13,8,0
寺云一方,1584,《欲望和解》,完结,510572,2021-10-07 00:39:11,190,3,3,0
子桑月白,934,《剑三+斗罗你们这些鱼唇的中原人》,连载,525146,2019-10-04 20:55:47,0,6,4,1
尾鱼,182037,《西出玉门》,完结,523014,2021-07-08 10:27:29,119,21,1,0
素衣渡江,22900,《我在西游当魔王》,完结,829084,2021-11-30 15:08:12,2044,15,3,3
幽寞,378,《[HP]网游之逢魔时刻》,完结,121538,2012-12-09 21:10:59,0,9,2,3
飞奔的橘子,11669,《金手指把我上交给了国家》,连载,817616,2022-03-13 12:39:16,3191,13,7,0
蜀客,40175,《重生之宿敌》,连载,782766,2022-03-12 01:38:27,0,32,5,0
曌小七,75,《听说妻主不是人[女尊]》,完结,120588,2020-06-14 10:51:36,47,10,5,0
蒙蒙不萌,11913,《只想当备胎也不容易（快穿）》,连载,201461,2022-03-13 03:06:30,10686,5,8,0
临渊鱼儿,35941,《唇属意外》,完结,120445,2022-03-12 21:17:39,33609,22,3,0
云非邪,8506,《师尊文休想套路我》,连载,802573,2022-03-13 18:05:09,319,10,9,5
叶斐然,58751,《你有权保持暗恋》,连载,395992,2022-03-12 16:34:38,392545,7,6,0
眉毛笑弯弯,1631,《红楼之风景旧曾谙》,连载,809078,2021-12-08 21:17:29,1,7,3,0
半步箫音,248,《穿*******泽》,连载,154049,2018-06-05 19:39:12,4,5,9,0
青城小巷,2654,《[HP]社会我拽哥》,连载,516996,2022-02-28 18:04:59,34,2,37,1
洛娜215,12979,《每次找工作都会误入歧途》,连载,424149,2022-03-13 00:25:40,28236,24,4,2
赵史觉,23108,《偏执男主白月光我不当了》,完结,445526,2021-12-17 13:48:52,6481,8,5,0
故筝,114188,《我和六个Alpha匹配100%》,连载,467178,2022-02-16 23:50:35,27066,43,16,1
蘑菇帆船,149,《恶*******梯》,完结,250691,2021-01-08 13:00:11,1,12,2,0
月泽星佑,784,《全天下都觉得我忍辱负重》,连载,155149,2022-03-12 23:52:44,276,7,6,1
月无弦,422,《朕要金屋藏将军[穿书]》,连载,711123,2022-03-12 02:42:25,55,5,5,1
姒姜,4231,《花雕》,连载,69579,2009-07-05 17:58:07,0,10,4,0
易人北,68380,《隔壁小王（全息）》,连载,932152,2022-03-13 17:01:49,8613,15,1,0
素光同,25411,《天宇开霁》,连载,423863,2022-03-12 15:08:28,240205,12,12,0
莔狸淇,269,《纪家闺秀》,完结,379681,2012-11-30 20:33:51,0,3,1,0
陈夜枫,581,《星辰旧事》,完结,6792,2021-11-23 00:00:00,0,4,2,0
江月年年,76543,《我想在妖局上班摸鱼》,连载,414940,2022-03-13 18:33:08,29325,14,8,0
染染,1635,《和神仙同居的日子》,连载,126735,2011-03-02 13:41:33,0,11,3,1
顾了之,81133,《他怎么可能喜欢我》,完结,271991,2021-10-13 23:59:32,63627,14,2,0
江中命,1418,《穿越黑子总裁爱上重生修仙王妃》,连载,15304,2021-02-13 14:32:46,0,0,1,0
映漾,34224,《下一座岛屿》,完结,348042,2022-03-09 21:17:39,109992,13,2,0
不是风动,65490,《销魂》,完结,508246,2022-03-01 15:38:22,17410,18,4,0
委鬼,2023,《重生90年代当配音》,完结,662853,2022-03-10 21:00:00,159,43,11,0
糖中猫,43523,《我用学习系统搞科技》,连载,1023032,2022-02-09 00:49:55,61561,6,5,0
鱼丸爱玩,6,《韩城恋爱物语》,连载,10345,2010-06-02 12:37:37,0,2,1,0
想成为纯爱战神,1028,《[综咒回]关于我穿成两面宿傩的手指这回事》,连载,321328,2022-02-27 18:22:36,0,0,2,0
烨霜,2113,《[柯南]外挂型侦探》,连载,130056,2022-02-27 23:35:59,0,0,4,0
菲菲儿,1322,《[综]蛇婶》,连载,373279,2021-12-26 18:35:49,10,17,2,1
紫菜罐头,248,《唐*******事》,连载,2056,2018-09-07 00:58:38,13,13,13,0
小杨狐,107,《希*******）》,暂停,107742,2009-12-11 11:17:33,0,2,0,3
绿药,50110,《燕尔新婚》,连载,6376,2022-03-13 18:18:18,28078,31,10,1
一诺兮,4011,《目前最全经典高干文集（He部分）》,连载,142532,2011-02-01 21:30:13,0,3,4,0
颓,139870,《角色扮演》,连载,754082,2022-01-17 13:22:12,708,6,1,1
连朔,28922,《痴情炮灰不干了[穿书]》,连载,221599,2021-12-03 17:25:23,1720,28,10,0
君子以泽,81510,《她的4.3亿年》,完结,904452,2022-01-13 06:42:05,120172,31,5,1
木兮娘,108223,《我自深渊来2》,连载,104099,2022-03-13 21:53:13,15665,36,9,0
晏白白,18982,《白月光掉马后[无限流]》,连载,115390,2021-05-11 19:12:16,1009,2,2,0
折一枚针,42021,《窄红》,完结,695682,2021-01-05 11:41:24,2,12,3,0
无声悄然,1994,《荣华镜影》,连载,37638,2010-04-01 02:41:34,0,11,14,0
舒雅,417,《我们如何相遇的》,连载,1669,2017-08-29 10:16:50,0,25,9,0
总攻大人,40171,《男主他斯德哥尔摩了》,连载,145179,2022-03-13 06:00:00,673,11,7,0
檀苏,2255,《[*******妹》,完结,3066,2022-02-05 23:49:46,197,23,5,0
虫爻雅君,2850,《与毛绒绒谈恋爱》,完结,41248,2022-02-21 00:57:18,16,21,6,0
八月薇妮,27062,《殷勤觅》,完结,343553,2022-01-24 01:08:43,2583,52,2,0
碧浮衣,173,《HP冷血爱情》,连载,21126,2022-03-12 23:10:08,27,13,7,1
蓉岛,558,《[火影]绝色》,完结,215943,2016-08-06 12:09:29,0,9,3,0
茶叶蛋,5450,《小侯爷的七年科举五年开封之路[七五]》,连载,589045,2022-03-11 23:40:58,380,49,8,1
哈尼雅,2332,《[综]死局》,连载,106754,2022-03-07 15:15:16,3,63,4,2
安碧莲,15422,《全宗门都是海王，除了我》,连载,1064743,2022-03-11 02:05:53,70811,25,12,0
三千世,60985,《咒术界的泥石流》,连载,1719104,2022-03-13 11:11:11,54,52,7,1
茶伍,1857,《如何在怪谈遍地的世界活下去[综恐]》,连载,545585,2022-03-11 00:58:41,1235,0,14,0
殊娓,40263,《迷迭香》,完结,217985,2022-01-26 12:15:26,2879,14,5,0
比卡比,18886,《四嫁咸鱼[番外集]》,连载,4570,2022-02-22 15:03:35,6984,10,5,0
诀别词,4992,《一枚硬币》,连载,131822,2022-02-20 15:51:06,0,4,7,1
多金少女猫,31722,《我成了皇帝的彩虹屁精[穿书]》,完结,518492,2022-03-07 12:40:38,13064,22,12,0
九鹭非香,69062,《和离》,连载,242169,2022-03-10 15:35:33,557,32,4,0
余家喵爷,331,《一觉醒来世界末日了……》,连载,54583,2020-11-21 21:00:19,215,6,6,0
燕孤鸿,27608,《无限旅游团》,连载,2911480,2022-03-13 21:40:58,40094,5,20,0
淳于歌,191,《同归》,连载,107139,2022-03-12 18:00:00,13,10,4,0
日千引,2237,《少爷他应该在海棠》,连载,21392,2022-03-13 20:39:23,66,19,12,0
困倚危楼,45817,《旧梦》,完结,108346,2019-08-18 13:34:14,0,23,1,0
闪灵,17810,《每次暗杀仙君都失败[穿书]》,连载,310943,2022-03-13 18:26:05,7180,8,2,0
闻檀,36897,《丹阳县主》,完结,556049,2021-10-13 11:27:04,8658,6,4,0
o苍白o,4953,《时之歌：暮日醒觉诗》,连载,932993,2018-11-29 16:38:30,0,0,1,0
拿铁不加冰,10911,《[网王]Pick Me Up》,连载,101828,2022-03-02 22:41:48,311,37,11,5
汌流不息,233,《[柯南]如何成为人气角色》,连载,362035,2022-03-13 00:57:39,0,0,3,0
风茄子,119,《快穿之军嫂》,暂停,148254,2017-05-18 22:21:36,6,3,6,2
囧猫微微,589,《巫*》,完结,265129,2011-02-23 21:45:19,0,10,6,1
苏香兰色,6054,《西行养崽指南[西游]》,连载,21161,2022-03-13 18:00:00,153,23,4,1
舒虞,38823,《磨牙》,完结,459220,2022-03-04 08:13:37,8911,9,3,0
漆瞳,12385,《穿成穿书女主的女儿》,连载,280817,2022-03-12 00:13:13,8575,1,5,0
罗青梅,27177,《月明千里》,完结,1011803,2021-09-26 00:47:50,5727,7,11,0
百年老火锅,136,《穿书后我成了反派的熊徒弟》,连载,134781,2022-02-21 22:31:52,67,2,2,1
苏景闲,105773,《我家老宫失忆了[娱乐圈]》,完结,545391,2022-02-19 22:01:34,20073,17,2,0
明前雨后,4743,《再*******篇》,连载,28511,2019-01-10 18:00:00,132,19,2,1
穆青延,261,《退圈后被豪门大佬缠上了》,连载,70619,2022-02-16 23:31:07,46,12,6,1
女王不在家,65678,《王妃支棱起来了！》,连载,163904,2022-03-13 17:21:02,79697,41,12,0
疏浅墨,37,《植物女大战僵尸男》,暂停,6970,2010-12-18 13:05:00,0,4,0,2
书影石,1248,《[综影视]祈愿人生2》,连载,401795,2021-07-22 20:41:59,0,2,1,0
千手扉间,1969,《[柯南]手一滑选了黑暗组织》,连载,319645,2020-07-26 18:30:00,0,2,23,1
许慕,488,《快穿之演技派男配》,连载,170574,2022-03-07 10:37:43,385,5,1,6
锦瑟漫漫,59,《不存在的家族（家教）》,完结,222217,2012-07-28 17:08:01,0,2,1,0
核子喵,1261,《[仙剑]原来是养成》,连载,266172,2013-07-07 18:00:42,0,16,2,3
青鸟临星,12865,《我真不想当反贼[基建]》,连载,511264,2022-03-13 18:00:00,12310,26,11,1
坡西米,5252,《北海有条龙》,完结,14109,2021-12-09 01:27:06,1,10,1,6
一世华裳,108637,《修真学院交换生》,完结,312768,2022-01-21 22:21:19,491,28,2,0
公子于歌,99776,《男主们为什么都用这种眼神看我[娱乐圈]》,连载,811906,2022-03-13 18:30:56,21,19,4,0
水心沙,11994,《冥公子》,连载,852347,2021-07-22 16:28:32,0,11,6,4
麻雀船长,1180,《农村包围城市》,连载,141617,2021-10-01 21:12:57,2,34,4,0
马户子君,44875,《圣君身死道殒后》,完结,392515,2022-03-06 17:10:31,3111,6,8,0
半颗苹果,939,《合同制恋爱》,完结,260701,2021-01-20 01:00:40,18,17,1,2
阪漆,279,《死对头非要与爷同居[穿书]》,连载,118559,2022-03-07 21:00:00,13,21,6,3
嘉鲤,534,《小少爷又乖又坏》,连载,197577,2021-07-20 18:00:00,455,12,6,1
南岛樱桃,45077,《玄学女主》,连载,394357,2022-03-12 22:14:56,101984,15,13,0
细辛二两,801,《[斗罗大陆]斗罗世界的颓废日常》,连载,370119,2019-09-08 17:44:13,0,0,2,0
不蓝卡,2188,《[HP]梦终有你》,连载,35316,2022-03-08 13:16:23,285,7,6,0
芙娅,19066,《被最强们包围的我陷入了修罗场》,连载,183147,2022-03-12 19:00:00,371,27,11,0
黄才神,26,《[琼瑶-聚散两依依同人]可慧重生》,完结,61117,2012-08-23 18:58:18,0,3,1,0
冰水中的鱼,4735,《清穿之四福晋不爱种田》,连载,111393,2022-03-13 14:06:51,1772,46,4,1
森森的爱,4931,《我在快穿世界优雅老去》,连载,277656,2022-03-12 21:17:15,545,7,1,0
祈祷君,64912,《开更》,连载,423656,2022-02-20 15:40:36,4754,15,3,1
蓝白内裤的猫,10403,《反派帝王A分化成Omega以后》,连载,272458,2022-02-12 22:29:37,854,12,5,0
君sola,79189,《探虚陵现代篇》,连载,3000367,2022-02-01 21:53:27,5902,1,5,0
渡部志麻,3219,《奇怪的BG脑洞堆放地》,连载,82625,2022-03-10 22:20:14,0,1,7,0
浮云与鱼,123,《我在原地等着你》,完结,321108,2019-03-12 09:54:42,62,8,3,0
东施娘,71728,《被厌弃的白月光》,连载,113342,2022-03-13 02:10:51,10463,20,7,0
扶不苏,567,《撩她上瘾》,完结,117459,2020-06-27 21:59:18,63,20,6,0
芝棠,221,《斗罗大陆之年璟》,连载,378896,2021-07-27 23:15:21,0,0,4,0
节艹君,7049,《每天都想叛逃高专加入咒灵》,连载,293618,2021-10-20 23:55:45,946,15,15,6
申屠此非,27431,《与咒灵为邻后我成了最强包租公》,连载,277524,2022-03-13 16:04:58,782,46,2,1
观冥,12092,《道长说要讲科学》,连载,90000,2021-05-21 21:00:10,398,6,2,0
夜觉非,3374,《[综英美]黑客公司经营中》,连载,119138,2022-03-13 19:46:24,1257,1,7,0
南楼北望,18455,《男主死了很多年》,连载,695527,2022-01-15 23:48:53,10166,17,29,0
酒矣,65565,《—*》,完结,1350,2021-03-03 00:56:30,18354,10,1,0
张佳音,5517,《女将》,完结,619538,2022-02-23 20:10:57,3,19,8,0
不若的马甲,2105,《一炉香》,连载,496433,2022-03-11 22:43:37,0,1,2,0
即墨遥,70115,《魔尊只想走剧情》,连载,299162,2022-03-13 09:00:00,64097,15,6,0
踏水而行,515,《人鱼主播要当影帝》,完结,307953,2019-11-19 17:57:54,864,8,1,2
皖皖,397,《搞基系统》,连载,6160,2012-11-21 14:04:53,0,13,8,0
渡箬,197,《自救指南[快穿]》,连载,21767,2022-03-13 21:00:00,221,13,12,0
项绿瓜,11813,《替身拒绝转正》,完结,260698,2021-12-23 17:20:14,3440,11,5,0
薇vivi,134,《且行且省心》,连载,61589,2020-11-20 17:57:56,0,4,4,0
桉柏,12825,《穿进赛博游戏后干掉BOSS成功上位》,连载,887016,2022-03-13 14:27:06,1982,16,13,1
养怡,93,《(HP)淡定吧，莫莉》,暂停,64024,2019-10-21 21:04:42,0,18,9,4
月下的影子,937,《我与2号蜘蛛脚》,连载,18700,2020-04-26 17:06:09,11,16,20,0
duoduo,16983,《炮灰进行时》,连载,426610,2021-12-08 18:45:14,38,15,5,0
冬月归,1241,《圣父系工具人》,连载,523096,2022-03-13 00:04:34,3581,1,8,0
大哥喝冰阔落,27915,《沙雕女配，放飞爆红》,完结,554623,2022-03-10 01:20:18,25550,7,10,0
鲨鱼子,31486,《男友死后，我被新任教父继承了》,连载,284528,2022-03-13 16:03:01,920,25,26,4
提灯怼月,11602,《同时给四位大佬当备胎后[穿书]》,完结,834721,2021-09-15 17:28:36,36643,2,3,0
桑沃,63126,《欢迎进入梦魇直播间》,连载,859278,2022-03-13 05:10:09,5632,7,5,1
周而复始,12009,《轻风》,连载,169810,2015-04-04 10:02:35,0,4,2,0
果子酱汁,4565,《所有情敌最后都爱上了我》,连载,316683,2021-09-29 22:14:49,5061,15,10,1
顾语枝,1356,《心头肉（重生）》,连载,112240,2022-03-09 19:15:15,954,12,7,0
弦小调,104,《海*******云》,暂停,2,2020-04-26 18:05:05,1,8,5,2
余青青,1296,《和顶流亲哥上极限综艺后》,连载,666258,2022-03-13 18:39:14,2633,14,10,0
夜晚的血,5501,《屑王之子》,连载,1456210,2022-03-09 19:24:11,154,13,4,0
九重雪,8517,《废物美人，综艺爆红》,连载,40309,2022-03-13 15:02:23,4446,9,4,0
缝补的靴子,835,《综绮罗无悔》,连载,56732,2018-11-23 11:14:48,0,3,1,0
安然陌,1188,《综影视苏神的定义》,完结,467209,2019-12-26 13:09:00,0,3,4,0
琴野楼,984,《好好训练，天舔教练》,完结,144090,2020-03-27 23:53:40,301,24,8,4
琅俨,13379,《午夜布拉格》,完结,1473035,2022-03-09 02:51:25,7287,22,15,0
放鸽子,18144,《领主的职业图鉴今天点满了吗》,连载,673791,2022-03-13 19:00:00,139,7,13,0
朝醉,5285,《[*******记》,完结,323700,2017-07-03 04:56:28,0,30,2,0
少地瓜,24573,《我的道侣是白狼》,连载,227737,2022-03-10 19:29:23,8653,37,9,3
弱水千流,66400,《半吟（改编剧：他在逆光中告白）》,完结,314057,2021-04-29 15:10:12,44812,21,11,1
郁礼,9641,《饕餮吃播》,连载,51705,2022-03-11 12:17:26,1026,34,8,0
西箫,1512,《年轻气盛》,完结,163948,2021-02-03 13:52:48,160,5,2,0
今闲,19213,《你再躲试试》,完结,304744,2022-02-16 00:43:38,1609,11,3,0
不问三九,130603,《还潮》,连载,374841,2022-01-07 09:35:53,0,5,3,0
惊鸿无双,160,《陈年旧伤》,连载,12558,2021-09-28 19:10:13,8,8,12,1
妾在山阳,51700,《回到仙尊少年时[穿书]》,完结,590282,2022-02-09 05:55:58,18677,9,4,0
小斋,1865,《本*******界》,完结,259,2017-11-23 21:04:03,89,32,1,0
八千岁,11920,《魔女霓裳（gl）》,连载,1155618,2021-11-15 22:58:09,0,0,4,0
云之桥,15,《一寨之主[穿越种田]》,连载,275394,2022-02-28 17:20:04,10,15,8,0
许卿轩,401,《剑三斗罗青莲长歌》,连载,830052,2022-02-20 19:28:26,0,0,5,5
天望,6879,《那一只小飞天儿》,完结,806342,2019-02-22 20:00:00,0,9,0,1
夜雨凭栏,691,《红楼之养了个林妹妹当媳妇》,连载,75207,2022-03-13 20:55:53,33,8,9,0
舒远,46260,《这些年来》,完结,155944,2022-01-20 21:44:37,1,15,3,1
阎云兮,864,《网*******言》,完结,242183,2018-06-28 02:56:42,177,14,11,2
春风遥,92405,《当巅峰遇到巅疯[快穿]》,完结,878229,2022-03-05 09:39:12,17929,20,8,3
城南花开,59518,《我喜欢的人不是男主》,完结,6036,2021-07-31 21:47:12,137296,36,22,0
莲衫,2975,《对*******粉》,连载,26987,2022-01-31 14:26:40,60,11,21,1
萝卜兔子,30586,《失忆后我招惹了前夫》,完结,247112,2020-10-20 14:59:02,288,33,10,0
狐狸小玖,7675,《有我别怂[电竞]》,连载,43465,2022-03-13 18:00:00,261,29,5,0
祁红,99,《黑莲大人在线养狼》,完结,161163,2022-02-14 11:05:16,74,4,4,0
不知海,7892,《[火影]我是漂亮的宇智波》,连载,96783,2022-02-13 11:52:34,193,26,26,0
夜安,1143,《归*》,连载,324954,2014-04-13 22:48:38,0,1,2,0
瑜姿,4036,《[综影视]从陈情令开始》,连载,343643,2022-03-08 23:47:04,341,25,43,0
三千琉璃,18490,《宇智波带子不想当海王》,连载,4016518,2022-03-13 18:00:00,275,27,13,0
幼儿源氏,5170,《[BatFamily]蝙蝠崽正确打开方式》,连载,35255,2022-03-13 22:10:11,0,5,16,0
一曲日水吉,2740,《穿越拯救单身》,连载,138894,2022-03-12 10:10:10,44,49,4,4
冷冻酸奶,235,《[*******娘》,连载,1232,2018-03-20 00:39:38,0,4,9,0
魔安,35738,《顶流隐婚翻车了》,完结,356466,2022-01-22 08:46:06,41608,16,7,0
言言夫卡,23338,《师妹修仙，法力无边》,连载,576231,2022-03-13 18:51:01,26504,11,14,0
车厘酒,47002,《大佬怎么还不逃[穿书]》,完结,589660,2021-06-20 17:29:23,65410,8,10,0
一度君华,48511,《不醒》,连载,534609,2022-03-13 21:11:28,89876,39,7,1
谈天音,7008,《小人通天》,连载,777233,2021-05-29 15:10:35,35,3,2,1
风的铃铛,29460,《我靠死神之眼柯学作死》,连载,624715,2022-03-12 13:10:47,634,73,18,0
三千风雪,39676,《这个Alpha为何那样？》,完结,638025,2022-03-02 17:44:51,35,21,15,0
意想不到,2689,《公主，求赏》,完结,345349,2022-02-28 22:10:11,3,35,7,4
袖侧,76852,《夺娶》,连载,62216,2022-03-13 07:00:00,29104,16,7,0
木鱼丸子,5474,《披着马甲在线开挂》,连载,395812,2022-02-17 21:49:38,1766,11,9,0
lemon drop,4665,《寒松传》,连载,148030,2022-02-19 14:07:51,101,28,10,0
青色羽翼,124714,《师尊能不能攻一次》,完结,323004,2022-02-20 21:34:01,96360,65,0,0
七茭白,8489,《逆世者》,连载,370054,2022-03-01 15:21:49,141,5,5,0
莫如诗酒话长安,1197,《漩涡》,完结,408225,2019-10-16 20:11:01,7,20,0,0
柒殇祭,20124,《当我抛弃主角后[快穿]》,连载,721944,2022-03-12 22:35:44,2632,32,6,2
晓月流苏,7717,《养好虫族有多难》,连载,524719,2022-03-06 20:21:18,62,13,6,4
风十一,10494,《温柔坠落》,完结,361025,2021-12-08 01:07:56,7527,42,17,0
曦宁若海月,825,《阆苑奇葩（科技型清穿）》,连载,29104,2014-01-24 19:18:31,1,5,5,0
环氧化酶,3746,《非典型恋爱脑》,连载,274136,2021-04-29 23:52:16,812,1,2,1
悠悠仙,20010,《老子是瑞兽！[星际]》,连载,411041,2021-07-01 11:27:25,1034,32,1,0
采枫,4243,《[修仙]天道至尊》,连载,188754,2019-01-28 08:51:01,72,3,10,0
东北喵,6557,《从泰坦尼克号开始》,连载,5681624,2022-03-13 06:33:33,697,8,19,0
湉喵,6162,《番外集》,连载,8250,2021-10-06 20:48:55,8759,18,7,0
鬼祖本祖,212,《清醒点！你是人质啊！》,完结,203333,2022-02-02 15:00:00,99,6,9,0
大唐昭仪,512,《郎君万岁》,暂停,44282,2015-03-28 20:13:56,0,14,0,7
百户千灯,28719,《大佬总被我拒绝》,连载,452814,2022-03-13 20:54:22,58518,10,4,0
皇兮,1051,《奸佞！给朕跪下》,完结,339035,2020-07-01 14:12:31,1,19,5,1
梵砂,566,《既然我们都在一条船上》,连载,14278,2022-03-11 18:00:00,65,14,7,0
天堂放逐者,97917,《人鱼恶礁》,连载,543083,2022-03-12 01:18:34,1181,16,4,0
落月玖,1898,《[火影]云雀的佐助生涯》,连载,114615,2013-04-07 11:44:55,0,24,7,4
芥戈,383,《重生后我让渣攻火葬场了》,连载,131810,2022-03-13 12:00:00,46,10,9,0
